"gene";"DE_log2_FC";"t.value";"p.value";"adj.p.value"
"HPSE2";1.84582733814106;7.4508615137225;4.22870015159153e-09;1.28710689142886e-07
"HPX";-0.954669976102352;-4.23349506185754;0.000129253489299461;0.000620628968699718
"HR";1.79770570212503;8.5996218077223;1.15543782048884e-10;7.24550320227031e-09
"HRAS";-0.161270658935439;-1.28564175867505;0.205899406395184;0.288574561188167
"HRC";0.913244394674914;4.74712041219893;2.59853042869357e-05;0.000160304438447428
"HRCT1";-1.76131381371631;-4.76096124029076;2.48709175649639e-05;0.000154664231903271
"HRH1";0.719612885896554;3.51731299711021;0.00109437865031761;0.00366957675418708
"HRH2";1.05407304814389;5.59805622677116;1.69105532913375e-06;1.61858152931373e-05
"HRK";1.24791685201182;3.4403953896876;0.00136399343365678;0.00438933423110266
"HRNR";0.508321267210633;1.44709987810216;0.155595483980824;0.229157606426366
"HROB";0.0962169267697346;0.718337781574786;0.476689019582113;0.568971765086124
"HS1BP3";0.00328643189700573;0.0308396816164856;0.975549467916932;0.982763622706312
"HS1BP3-IT1";-0.471489839464851;-2.03138945882799;0.0488393216826892;0.0873641726347394
"HS2ST1";0.284375290208204;3.29045716756043;0.00208264190948443;0.00625110312942475
"HS3ST1";1.13140301116488;4.99267584799674;1.18959280135794e-05;8.25717207202765e-05
"HS3ST2";1.36082145445606;5.18549213045888;6.41057598609475e-06;4.90563206913283e-05
"HS3ST3A1";1.27444689078655;5.81279919548728;8.42353138265975e-07;9.05506264845012e-06
"HS3ST3B1";0.177539986238524;1.33838884079365;0.188264487238243;0.267759711377682
"HS3ST5";-1.87811413487099;-4.73724790090538;2.6810122563343e-05;0.00016422243486932
"HS3ST6";1.42977287586249;2.04062786795689;0.0478693281191744;0.0859277990885022
"HS6ST1";1.09638503429094;7.1875189005132;9.81689371405477e-09;2.46458697060162e-07
"HS6ST2";2.75938763787524;9.74529851774405;3.69437285939657e-12;5.22548516667981e-10
"HS6ST3";1.8737116533513;4.36336130496774;8.65518310719205e-05;0.000443855018063372
"HSBP1";-0.0108325800774781;-0.14222113122848;0.887613269464342;0.91921513922945
"HSBP1L1";-0.344966134842028;-2.56056865162649;0.0142951005552127;0.0316351642412678
"HSCB";0.0449944260852394;0.441344521245671;0.661320152622599;0.733892078503957
"HSD11B1";0.52592674289029;2.53320834732414;0.015290272072378;0.0334104178027395
