gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
SEMA6A;-1,76241916806076;0,182311860564834;-9,6670571108236;9,6670571108236;4,93820678360274e-12;6,23636944680212e-10;57556;0;1
UNC13B;-1,00995623891139;0,104482431469987;-9,66627809768673;9,66627809768673;4,94949956095406e-12;6,23636944680212e-10;10497;0;1
NEBL;-1,04346069103974;0,10822985038496;-9,6411543333774;9,6411543333774;5,32810258902966e-12;6,66136732991243e-10;10529;0;1
AGER;-3,48833519309962;0,362235019947216;-9,63003299241452;9,63003299241452;5,50495627199458e-12;6,82953344267144e-10;177;0;1
FRY;-1,13691998951715;0,11819721907484;-9,61883873762953;9,61883873762953;5,68898805940089e-12;7,00396942152806e-10;10129;0;1
NOTCH4;-1,50903262498641;0,156976505953896;-9,61311131125329;9,61311131125329;5,78554789871599e-12;7,04896464472357e-10;4855;0;1
SRPK1;0,541289627839123;0,0564161243751517;9,59459079889457;9,59459079889457;6,10932376086707e-12;7,35307265785553e-10;6732;0;1
ALDH1A3;1,94962425621615;0,203423137094602;9,58408312870266;9,58408312870266;6,30113315825932e-12;7,52775374640047e-10;220;0;1
PLEKHA1;-0,899464490182862;0,094151555074111;-9,55336839072762;9,55336839072762;6,89758791548349e-12;8,0031868993466e-10;59338;0;1
P3H2;-1,60086484518574;0,16765071655285;-9,54881003852484;9,54881003852484;6,99086573890831e-12;8,05347733122238e-10;55214;0;1
C1R;1,44885086356884;0,151897681769075;9,53833427011402;9,53833427011402;7,21011219025382e-12;8,24714109251161e-10;715;0;1
TNC;2,16619224237312;0,227764169466014;9,51068048785588;9,51068048785588;7,82299794772856e-12;8,82302873433331e-10;3371;0;1
IGFBP4;1,34396729619601;0,141368040909952;9,50686794232425;9,50686794232425;7,9115448128243e-12;8,86093019036322e-10;3487;0;1
DOCK4;-1,02260352156779;0,107634621127203;-9,50069327934249;9,50069327934249;8,0571144334952e-12;8,96173390230418e-10;9732;0;1
EFR3B;-1,75674794748784;0,185418196025791;-9,4745175238545;9,4745175238545;8,70502093943332e-12;9,543446644911e-10;22979;0;1
ARHGEF26;-1,6913007352103;0,17867560651598;-9,46576182495865;9,46576182495865;8,93334281874174e-12;9,6695941597763e-10;26084;0;1
NCDN;0,883405911662234;0,0934776591191163;9,45044965809993;9,45044965809993;9,34734185332766e-12;1,00502619606979e-09;23154;0;1
COL18A1;1,43440635508268;0,152005187226158;9,43656187830307;9,43656187830307;9,73964540556458e-12;1,03342763882201e-09;80781;0;1
CLDN10;2,59901905150201;0,275551978873146;9,43204640420493;9,43204640420493;9,87076448844169e-12;1,04049470372279e-09;9071;0;1
FUT8;0,950043007115214;0,101135001109601;9,39381022091101;9,39381022091101;1,10553693065797e-11;1,14295510369562e-09;2530;0;1
MPZL1;0,852224159177616;0,0908743847291164;9,37804598862457;9,37804598862457;1,1584841029663e-11;1,18570650282852e-09;9019;1;1
HSD17B6;-2,17528191303423;0,231977034699158;-9,37714337048608;9,37714337048608;1,16159243208647e-11;1,18570650282852e-09;8630;0;1
COL1A2;2,16771916019551;0,231226530063008;9,37487216369513;9,37487216369513;1,16945121498867e-11;1,18622070410927e-09;1278;0;1
GGT5;1,73636940556699;0,185458404335559;9,36258139278117;9,36258139278117;1,21292464076463e-11;1,21296622791888e-09;2687;0;1
PDZD2;-1,4073968615965;0,15037899651159;-9,35899889109862;9,35899889109862;1,225902127671e-11;1,21296622791888e-09;23037;0;1
FAM98A;0,608487740737841;0,065146696822352;9,34027004311702;9,34027004311702;1,29607521094044e-11;1,2494018985215e-09;25940;0;1
LTBP1;1,67281009861285;0,179127911028393;9,33863454896036;9,33863454896036;1,3023932337507e-11;1,2494018985215e-09;4052;0;1
ATP2A2;0,949243165680115;0,101665995155874;9,33687969339933;9,33687969339933;1,30920709852513e-11;1,2494018985215e-09;488;0;1
ANXA3;-1,916323529173;0,205390984163276;-9,33012486881904;9,33012486881904;1,33577429824238e-11;1,26725693423842e-09;306;0;1
RNF128;-1,42977691850712;0,153463223634386;-9,31673976765569;9,31673976765569;1,3900452970265e-11;1,30340991572345e-09;79589;0;1
ST6GAL1;1,38254322079679;0,148536707787434;9,30775457050863;9,30775457050863;1,42772579393502e-11;1,33100356095861e-09;6480;0;1
LAMA3;-1,34480265374789;0,144617906432732;-9,29900512958549;9,29900512958549;1,46541306936696e-11;1,35828632084772e-09;3909;1;1
COL4A3;-2,34061537011144;0,252171043106942;-9,28185624040433;9,28185624040433;1,54223266973503e-11;1,4213216284278e-09;1285;0;1
HIF3A;-2,33663806877862;0,252172394329734;-9,26603435316274;9,26603435316274;1,61672699649928e-11;1,48150982951934e-09;64344;0;1
