gene;DE_log2_FC;std.error;t.value;p.value;adj.p.value;gene_id
ABHD14A-ACY1;-0,13727593116706;0,0255119875838012;-5,38084030952659;8,79148606393176e-08;1,34338658319753e-07;100526760
ABHD14B;-0,16324240563681;0,030556396349241;-5,34233172560824;1,08346636396593e-07;1,64940486105339e-07;84836
ABHD15;-0,0966259953640618;0,0333565120709427;-2,89676555985702;0,0038339062083631;0,0047049202403287;116236
ABHD16A;-0,170261433947169;0,0205352378680157;-8,29118391720005;2,78360207820617e-16;6,02842333054064e-16;7920
ABHD16B;-0,614716848194609;0,0435530509684556;-14,1142086381005;3,5248358543893095e-42;4,03411642477754e-41;140701
ABHD17A;-0,538672401256904;0,0331643705132225;-16,2425034131776;3,93961265445903e-54;3,0122315347661803e-52;81926
ABHD17B;0,181287218804271;0,0277921155918023;6,52297297071346;9,866207215210919e-11;1,70140883848925e-10;51104
ABHD17C;0,189149847270195;0,0244321933635825;7,74182835144603;1,9656624560848e-14;3,93954944127456e-14;58489
ABHD18;0,0174832178068524;0,0190627580247212;0,917139995386793;0,359240552934326;0,380573846797719;80167
ABHD2;0,0297564299767481;0,0169239560354088;1,75824316220692;0,0789429380607345;0,0888380796888559;11057
ABHD3;0,247161213453112;0,0354022783193264;6,98150585744039;4,6586366182191995e-12;8,485690187262929e-12;171586
ABHD4;-0,071641828840738;0,0330094114318224;-2,17034553883843;0,0301625567507723;0,0349877064987947;63874
ABHD5;0,217637945984314;0,0276197038285263;7,87980737720772;6,9222283393455704e-15;1,41290150062141e-14;51099
ABHD6;-0,0043735473382153;0,0196944205012755;-0,222070374598332;0,824294205910678;0,83583606976144;57406
ABHD8;-0,192926368547031;0,0321790480691445;-5,99540322424958;2,63077559925268e-09;4,2806285752252106e-09;79575
ABI1;0,351395134499136;0,0238951896557566;14,7056851007032;2,13565152756408e-45;3,6268217703762904e-44;10006
ABI2;0,247142784713395;0,0206003242839668;11,9970337023163;1,6260709638718602e-31;7,25937272960995e-31;10152
ABI3;-0,0082949332238105;0,0517904808512327;-0,160163278800936;0,87277751746134;0,881491761201574;51225
ABI3BP;0,602059660963177;0,0477523095237182;12,6079694776676;1,8705650433679e-34;1,0161448397695e-33;25890
ABITRAM;0,2721149919985;0,025434563681714;10,6986302341854;1,1763575641581e-25;3,7967021977564003e-25;54942
ABL1;-0,432651883822157;0,0297644030631014;-14,5358831119483;1,89584484764273e-44;2,8274477279038e-43;25
ABL2;0,0644899838363229;0,0138894110072757;4,64310429020647;3,78205816062033e-06;5,38414328705093e-06;27
ABLIM1;0,0996800713867627;0,0228751573762166;4,35756876979568;1,41949491533758e-05;1,96982738507054e-05;3983
ABLIM2;-0,352187780978475;0,0342785512784739;-10,2742901272972;7,42063222717901e-24;2,19971635332795e-23;84448
ABLIM3;-0,23430199999457;0,0233187885741825;-10,047777535664;6,37540219915828e-23;1,82093651728326e-22;22885
ABR;-0,192009532720245;0,0243544292371767;-7,88396766971427;6,70473778341931e-15;1,3693674384345e-14;29
ABRAXAS1;0,356188959307178;0,0255193669952672;13,9575938295506;2,43710025629255e-41;2,51684304210403e-40;84142
ABRAXAS2;0,329943949065026;0,0216544331737548;15,2367853001536;2,4215026107895198e-48;6,190987679641781e-47;23172
ABT1;0,0047074527769774;0,0176726014245446;0,266370109521028;0,789996669084418;0,803164102172972;29777
ABTB1;-0,461832369686568;0,0346588700917564;-13,3250844145786;4,75330135376431e-38;3,50757887845064e-37;80325
ABTB2;-0,620105145837299;0,0369257669504646;-16,7932908927568;2,14023101825871e-57;3,52078811751125e-55;25841
ACAA1;-0,142291370474687;0,0193645469035065;-7,34803510682304;3,55572652505252e-13;6,76343870439213e-13;30
ACAA2;0,0647843089390598;0,0295264301233858;2,19411248391145;0,0284050553771226;0,0330078296019849;10449
ACACA;-0,0386795897275927;0,0158369442674707;-2,4423644532892;0,0147247357034891;0,0174430495829956;31
ACACB;-0,48242255898087;0,0442721748145661;-10,8967440836484;1,63052008679385e-26;5,49558156736851e-26;32
ACAD10;-0,292334202512657;0,0236608633390478;-12,355179028071;3,14528454935872e-33;1,58147898026725e-32;80724
ACAD11;0,0398532545894814;0,0216798051152397;1,83826627488762;0,0662524352093967;0,0750286600250494;84129
ACAD8;-0,0728687925990951;0,0153217571783965;-4,75590310893579;2,19765826046855e-06;3,16091693279085e-06;27034
ACAD9;-0,228382139582711;0,0197808641421785;-11,5456098348977;2,01753874217534e-29;7,998450816715569e-29;28976
ACADL;0,343472107005182;0,0429196581180591;8,00267574500228;2,69081495223663e-15;5,58605638140545e-15;33
ACADM;0,313491304523327;0,0242507466314119;12,9270784643498;4,88539760422091e-36;3,00580224338277e-35;34
