"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"ACAA1";-0,142291370474777;0,0193645469035773;-7,34803510680081;3,55572652548728e-13;6,76343870521909e-13
"ACAA2";0,0647843089388917;0,0295264301235177;2,19411248389596;0,0284050553782705;0,0330078296033189
"ACACA";-0,0386795897274092;0,0158369442675869;-2,4423644532597;0,0147247357046905;0,0174430495844187
"ACACB";-0,482422558980834;0,0442721748145497;-10,8967440836516;1,63052008708882e-26;5,49558156836269e-26
"ACAD10";-0,292334202513219;0,023660863339153;-12,3551790280398;3,14528455067371e-33;1,58147898092844e-32
"ACAD11";0,039853255049752;0,0216798051431441;1,83826629375195;0,0662524324293062;0,0750286568766901
"ACAD8";-0,0728687925990588;0,0153217571782909;-4,75590310896619;2,19765826014331e-06;3,16091693232305e-06
"ACAD9";-0,228382139482571;0,0197808641337822;-11,5456098347359;2,01753874370881e-29;7,99845082279495e-29
"ACADL";0,343472107040121;0,0429196580266977;8,00267576285132;2,69081457611657e-15;5,58605560059075e-15
"ACADM";0,313491304534348;0,0242507466335927;12,9270784636417;4,88539764737748e-36;3,00580226993538e-35
"ACADS";-0,187349471655815;0,036055427175941;-5,19615176771027;2,36232372642595e-07;3,54359438229465e-07
"ACADSB";0,244163264674134;0,0263050253760261;9,28200072738422;6,7941288009651e-20;1,70334331361634e-19
"ACADVL";-0,385183590611172;0,0272487125047415;-14,1358455209268;2,72459675678687e-42;3,17401879692639e-41
"ACAN";0,00464374078907341;0,0549762961014951;0,0844680547503659;0,932697398041698;0,937764527997721
"ACAP1";-0,420856062702863;0,0405656902844662;-10,3746801731122;2,81908586685447e-24;8,5353471700301e-24
"ACAP2";0,247284683529666;0,0214610147820248;11,5225065562504;2,60113188593852e-29;1,02600762874121e-28
"ACAP3";-0,782449002920336;0,0472996885171613;-16,5423711540182;6,69227130327794e-56;7,26602202967897e-54
"ACAT1";0,252100527183562;0,0174864610054657;14,416898142212;8,44184981148446e-44;1,15824739705001e-42
"ACAT2";0,242761886743616;0,0330428149780317;7,34688878368913;3,57326834757496e-13;6,79442478792829e-13
"ACBD3";0,25307708645882;0,016839464725708;15,0288082537718;3,62915201750125e-47;7,88058263427005e-46
"ACBD3-AS1";0,162081269177897;0,0197069694175013;8,22456592610106;4,73298770069164e-16;1,01462995515946e-15
"ACBD4";-0,296850394514826;0,0312331178782479;-9,50434713793225;9,38357631948549e-21;2,44161885187954e-20
"ACBD5";0,222953317471494;0,0213986254440887;10,4190485530969;1,83565594857813e-24;5,60050445457915e-24
"ACBD6";-0,123263735826836;0,015275270454564;-8,06949613059103;1,60006320122073e-15;3,35547634497564e-15
"ACBD7";0,0603457258244229;0,0441402505723771;1,36713600493666;0,171820310147165;0,188080761598114
"ACBD7-DCLRE1CP1";0,0502432754623059;0,0427828922064555;1,17437772135295;0,240459939446182;0,259776489142323
"ACCS";-0,460591276875134;0,0456362981382337;-10,0926520262443;4,16791500744944e-23;1,20160495328946e-22
"ACD";-0,346092406517088;0,0268374772040784;-12,8958621514728;6,95855338531218e-36;4,24127995633212e-35
"ACE";-0,233955017698718;0,0463484730941508;-5,04773948482552;5,10972444683955e-07;7,56036816037329e-07
"ACER2";-0,317470276895927;0,0399201682843907;-7,95262872226072;3,95379029072843e-15;8,15287777599433e-15
"ACER3";0,250389638987466;0,0298890097673132;8,37731463627455;1,39539010580481e-16;3,05447893321737e-16
"ACHE";-0,268206374061617;0,0488003327240592;-5,49599478303122;4,67187172558062e-08;7,24008972526462e-08
"ACIN1";-0,318986070078794;0,0242333064372812;-13,1631261670532;3,13720741264303e-37;2,15398650599934e-36
"ACKR1";-0,398283664049285;0,0686494146857639;-5,80170516926314;8,24565751659783e-09;1,31694398661677e-08
