gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
TBC1D13;-0,432080053451271;0,0265886055847142;-16,25057215109;16,25057215109;3,60028419175118e-54;2,79210611175523e-52;54662;0;1
HCFC1;-0,439582287922377;0,0270569028246724;-16,2465856040823;16,2465856040823;3,70958817292155e-54;2,86323947792419e-52;3054;0;1
IPO7;0,490855902497005;0,0302176386486364;16,2440192036367;16,2440192036367;3,8562784069024e-54;2,9624221761704e-52;10527;0;1
ABHD17A;-0,538672401256781;0,0331643705131968;-16,2425034131865;16,2425034131865;3,93961265669795e-54;3,01223153647807e-52;81926;0;1
NPHP4;-0,549949502047746;0,0338606962922981;-16,2415296277542;16,2415296277542;4,07714397100534e-54;3,10282087438285e-52;261734;0;1
ABCC10;-0,630749042517906;0,0388470704471323;-16,2367209485283;16,2367209485283;4,18317844309471e-54;3,15403907982595e-52;89845;0;1
SNAPC4;-0,721592989978571;0,044490141733041;-16,2191659066501;16,2191659066501;5,44201892921207e-54;3,992284697349e-52;6621;0;1
CROCC;-0,869825262852016;0,0536482391213873;-16,2134913856894;16,2134913856894;5,72967342382916e-54;4,16577952591436e-52;9696;0;1
EFR3A;0,547648755150199;0,0337874447713633;16,2086466986803;16,2086466986803;6,3373411216023e-54;4,56681139408916e-52;23167;0;1
PDZD7;-0,607615344277108;0,0374919844656235;-16,20653995614;16,20653995614;6,41824243268866e-54;4,60473551800738e-52;79955;0;1
RERE;-0,27555007061627;0,017007109596371;-16,2020517980943;16,2020517980943;6,9232446379071e-54;4,92366647043472e-52;473;0;1
AMBRA1;-0,251021942908054;0,0155139369362943;-16,1804153219674;16,1804153219674;8,9897441811611e-54;6,36552059714738e-52;55626;0;1
CCDC92;-0,330754531476883;0,0204438727291847;-16,1786632042917;16,1786632042917;9,55857342963502e-54;6,73900116342147e-52;80212;1;1
ZBTB7A;-0,446256577224891;0,0276138787003978;-16,1605901896883;16,1605901896883;1,21884377118156e-53;8,37556525631345e-52;51341;0;1
OGFOD3;-0,512254188530483;0,0317146272549694;-16,1519851522208;16,1519851522208;1,31247923470443e-53;8,98110790604889e-52;79701;0;1
TET3;-0,403661574690921;0,0250151878269192;-16,1366597558198;16,1366597558198;1,65916622298968e-53;1,11198276163004e-51;200424;0;1
HIRA;-0,293086935013703;0,018164120808981;-16,1354869908589;16,1354869908589;1,67263167970468e-53;1,1164130957242e-51;7290;0;1
PTEN;0,413401399276505;0,0256240155566978;16,1333573327638;16,1333573327638;1,75803028934814e-53;1,1638732232652e-51;5728;0;1
ZNF276;-0,760060565570412;0,0471115965239562;-16,1331948320606;16,1331948320606;1,70394417614171e-53;1,13267081031199e-51;92822;0;1
SLC2A6;-0,576532183680082;0,0357457106123634;-16,1287095375487;16,1287095375487;1,85714351414792e-53;1,22451171139324e-51;11182;1;1
VPS37B;-0,441510685906278;0,027390885963106;-16,1188902944201;16,1188902944201;2,1092119649924e-53;1,37954321533599e-51;79720;0;1
PPIL2;-0,407341218522589;0,0252728158577397;-16,1177615037243;16,1177615037243;2,12210647762268e-53;1,38242504378252e-51;23759;0;1
UBXN2B;0,530034930315033;0,0328893974724943;16,1156777273985;16,1156777273985;2,14426549417838e-53;1,39129513299558e-51;137886;0;1
TRAF3;-0,360853172244595;0,0223917569207382;-16,1154470157002;16,1154470157002;2,25191481978043e-53;1,4553446331327e-51;7187;0;1
CTRL;-0,710387419223055;0,0440985052253755;-16,1091042789876;16,1091042789876;2,32597979491204e-53;1,49726904900938e-51;1506;0;1
CASK;0,313852597312777;0,019505382232953;16,0905638025665;16,0905638025665;3,00017416778334e-53;1,90862642564529e-51;8573;1;1
STARD7;0,328895654358292;0,0204432548299204;16,0882235776334;16,0882235776334;3,22150673706749e-53;2,04145753773856e-51;56910;0;1
RRAGD;0,419373024072437;0,0260786654887621;16,0810768577538;16,0810768577538;3,56335947637918e-53;2,24836210752287e-51;58528;0;1
TMEM120B;-0,574209928808721;0,035709208490061;-16,0801639993936;16,0801639993936;3,57562191973734e-53;2,24836210752287e-51;144404;0;1
NCLN;-0,572935169938131;0,0356615593074324;-16,0659034844481;16,0659034844481;4,22400751263871e-53;2,61567248482258e-51;56926;0;1
TRAM1;0,422390717273015;0,0263009495635225;16,0599037024443;16,0599037024443;4,74063119489937e-53;2,90247818195982e-51;23471;0;1
SEC16A;-0,347831887204436;0,0216612001662853;-16,0578308004291;16,0578308004291;4,62495616727365e-53;2,84234098642335e-51;9919;0;1
PRR7;-0,606491741848295;0,0377900716857749;-16,0489703986614;16,0489703986614;5,43867535650799e-53;3,29272367494755e-51;80758;1;1
